"MeterID","Sleeping.Hours.Consumption.x","Working.Hours.Consumption.x","Evening.Hours.Consumption.x","Average_Consumption","Average_consumption_by_year","total_number_of_people","total_usage_purpose","total_heavy_devices","total_light_devices","total_heavy_device_usage","total_light_device_usage","income_category","emp_status","education"
1159,0.178135747663551,0.429734112149533,0.428708012146695,0.345532435168601,1027.27558333333,1,0,6,1,11,3,7,6,5
1160,0.33651515858209,0.897131063432836,1.04220366052693,0.758638670812281,2116.91341666667,1,2,6,1,9,2,1,6,5
1161,0.0252772854477612,0.0794126632462687,0.164689321520168,0.0897989117761368,255.641916666667,2,3,5,1,12,4,5,1,5
1162,0.301100817757009,0.539605023364486,0.68999824807288,0.510248695584456,1448.98008333333,3,1,8,6,16,14,7,5,3
1164,0.366390391791045,0.532493586753731,1.01684366985311,0.638605285658764,1827.78675,2,2,7,3,8,4,-1,1,5
1165,0.257242537313433,0.631493936567164,0.284799253905339,0.39117030703459,1075.97658333333,1,2,3,2,4,3,1,6,2
1166,0.221441588785047,0.571114369158878,0.551796426068676,0.44812553539444,1297.1065,3,1,3,2,6,6,1,4,2
1168,0.47190671641791,0.740967817164179,0.950050477966892,0.720992809949475,1989.77475,2,2,9,6,14,6,7,6,2
1170,0.111081623134328,0.518630713619403,0.434594427605502,0.354775126311698,1026.91291666667,2,1,6,3,10,8,7,6,2
1174,0.207403568097015,0.505466068097015,0.50510188855211,0.405998212203653,1175.90383333333,1,2,5,5,8,6,7,6,3
1176,0.401204119850187,0.723449087078652,0.803125555815586,0.642605445892174,1847.75166666667,4,1,10,5,16,8,-1,1,4
1178,0.163224347014925,0.274225746268657,0.315607017952903,0.251024057520404,712.834833333333,1,2,7,3,9,3,-1,4,4
1179,0.183941471962617,0.498035864485981,0.305725414622752,0.32923241959349,939.116166666667,1,0,2,1,2,3,1,6,1
1180,0.441383861940298,0.391830340485075,0.92886675215668,0.587386863583366,1679.70966666667,3,1,6,5,12,7,5,1,5
1182,0.362488572761194,0.858636310634328,1.09654558172068,0.772582005441119,2124.86383333333,5,1,5,7,8,7,4,1,5
1183,0.27131296641791,0.40892432369403,0.572973070645838,0.41774885347843,1236.6805,3,1,5,3,8,3,-1,1,5
1184,0.080103661380597,0.145375932835821,0.191813010025647,0.139101632335795,351.46975,1,3,6,2,12,3,-1,5,-1
1185,0.237471548507463,0.5143359375,0.4575188855211,0.40311301982122,1144.88491666667,2,3,4,3,6,4,7,6,4
1186,0.454035981308411,1.22186682242991,1.10205909834151,0.926001012382213,2610.84216666667,4,2,6,6,14,6,-1,1,3
1188,0.398327891791045,1.15832579291045,0.619334693401725,0.725321220365332,2034.30225,3,2,7,4,20,8,3,6,2
1190,0.67547167721519,1.13711787974684,0.859876582278481,0.890822046413502,2016.10416666667,5,1,7,2,19,6,3,3,3
1191,0.392506763059702,0.795883628731343,0.992348566099324,0.726933618344345,2087.07291666667,4,0,8,4,9,7,5,1,5
1194,0.353555065524194,0.697472908266129,1.14958830939783,0.733573708525829,1915.24191666667,6,2,13,6,19,11,5,1,5
1195,0.099323927238806,0.246767140858209,0.278764164140825,0.208290555771473,728.940666666667,3,2,3,4,9,14,1,4,3
1196,0.532437849813433,1.15194158115672,0.913845301935183,0.866078624174116,2490.35733333333,6,2,10,4,21,10,5,1,5
1197,0.126732625932836,0.175448460820896,0.255632781534157,0.185943373493976,515.422416666667,3,1,4,3,5,3,-1,6,4
1198,0.247622201492537,0.541059351679104,0.494851713686174,0.427849630781189,1279.67841666667,2,1,4,2,10,4,-1,6,3
1199,0.254786263992537,0.345186450559701,0.400571345301935,0.333519898950641,938.235,1,0,7,1,10,2,7,6,4
1200,0.400512826492537,0.873053871268657,0.732063884355328,0.66854846482705,1898.52783333333,5,1,7,7,17,10,7,1,4
1202,0.389669659514925,0.691204057835821,0.726075658661693,0.602326078507579,1705.958,2,2,5,7,9,10,-1,6,3
1203,0.684008395522388,1.5467890625,1.52973385404523,1.25353190827827,3478.70675,4,0,7,7,14,11,5,2,4
1204,0.114829174440299,0.279396222014925,0.252779319188622,0.215671123202487,614.724916666667,1,2,4,3,5,6,4,1,5
1205,0.244520210280374,0.762211098130841,0.563369539827143,0.523370064636711,1492.19233333333,5,1,7,6,19,16,4,1,5
1206,0.500793575063613,0.883680025445293,1.12652671755725,0.837000106022053,1897.96991666667,4,1,8,10,13,14,3,3,4
1209,0.34612293814433,0.643361340206186,0.518583870136563,0.502690748217507,1299.32766666667,4,1,5,4,10,12,4,1,5
1212,0.37139552238806,0.721855876865672,0.667093844719049,0.586787990672367,1663.70716666667,1,3,8,1,16,4,7,7,3
1219,0.275015858208955,0.590517607276119,0.375640708789928,0.413721764477264,1201.06075,4,0,5,3,9,8,5,1,5
1221,0.231970271535581,0.370984433520599,0.394435174350573,0.332468128267145,933.901166666667,2,1,3,2,6,6,-1,3,-1
1222,0.249397154850746,0.63527833488806,0.5237178829564,0.469468674698795,1296.25583333333,4,1,3,3,8,10,7,4,1
1223,0.207051539179104,0.317662313432836,0.274217999533691,0.266311232024874,751.888333333333,1,1,4,4,5,6,-1,6,-1
1224,0.191580107276119,0.376553638059701,0.440561319654931,0.336239797901283,959.897833333333,2,2,6,3,7,5,2,6,4
1225,0.32798729011194,0.340116021455224,0.457543017020284,0.37522184220754,1058.68533333333,2,1,5,2,5,4,-1,6,2
1226,0.276527570093458,0.647666004672897,0.553073580939033,0.492427108480648,1443.75141666667,4,2,6,8,12,10,7,1,4
1227,1.15544577891791,2.02912488339552,1.72294940545582,1.63584679362612,4658.62816666667,6,1,6,10,10,9,-1,1,4
1229,0.425900069962687,0.745523087686567,0.895704476567965,0.689058608628061,1988.09725,2,2,10,7,16,8,-1,3,2
1230,0.21809130130597,0.508568913246269,0.343567031942178,0.356741391371939,1020.54816666667,2,1,8,4,12,8,3,6,2
1231,0.225341184701493,0.502733558768657,0.550259967358359,0.426121220365332,1242.15983333333,3,1,8,4,12,9,-1,6,-1
1233,0.393033931902985,0.633034981343284,0.997470505945442,0.674538243295764,1885.91216666667,4,3,8,4,17,5,4,1,5
1234,0.221124766791045,0.398663129664179,0.431070062951737,0.350292265837544,988.710583333333,5,0,6,4,13,6,2,1,3
1235,0.334529034514925,0.373159398320896,0.499195616693868,0.402302215312864,1134.8,2,0,8,1,9,2,-1,6,3
1236,0.141977611940299,0.379851445895522,0.273043133597575,0.264958025650991,754.617833333333,2,1,5,2,8,3,7,6,4
1238,0.510901685393258,0.795123712546816,1.27538251813714,0.860501677459624,2462.89808333333,2,2,9,2,14,2,-1,1,-1
1239,0.380371035447761,0.739693913246269,0.573646537654465,0.564571200932763,1601.08466666667,4,1,8,7,12,9,4,1,3
1241,0.102068213619403,0.301751515858209,0.218829913732805,0.20755075787019,590.640083333333,3,1,4,1,8,1,7,6,4
1243,0.409781542056075,0.527088785046729,0.556608152300864,0.497830737481505,1618.78783333333,4,1,7,2,12,5,-1,1,5
1244,0.288919042056075,0.351518691588785,0.37750619014249,0.33931761545051,946.08175,1,2,5,2,4,7,7,5,3
1246,0.561717990654206,1.16736880841122,1.033662812427,0.920925317342886,2640.96108333333,5,1,5,7,14,10,5,1,3
1247,0.27745604011194,0.590116604477612,0.631664723711821,0.499756043528955,1386.60091666667,1,2,7,3,13,5,7,6,4
1249,0.0495001166044776,0.0533144822761194,0.0492954068547447,0.0507032258064516,143.045333333333,1,0,0,1,0,3,-1,6,2
1250,0.153679556074766,0.584982710280374,0.590253679046952,0.442983451444592,1247.77966666667,4,0,5,3,9,7,-1,1,3
1251,0.463176635514019,1.05389450934579,0.89971291754263,0.805602016976871,2287.91241666667,7,2,10,4,14,6,4,1,5
1255,0.119358558768657,0.470792677238806,0.40792166006062,0.332696813058686,937.796666666667,2,1,5,3,8,7,-1,1,4
1257,0.296628731343284,0.341545592350746,0.391538237351364,0.343241274776525,969.2695,1,2,7,3,8,8,4,6,4
1259,0.198658931902985,0.31021630130597,0.488991140125903,0.332634279051691,1066.52583333333,2,1,8,7,12,8,2,5,3
1260,0.411364622201493,0.587460704291045,0.647789694567498,0.548879362611737,1544.15925,3,1,6,2,12,4,2,6,2
1262,0.120481576492537,0.259227961753731,0.261226859407787,0.213649164399534,765.13,3,3,5,2,8,2,1,6,3
1263,0.421919193097015,1.09044764458955,0.978092678946141,0.830164671589584,2379.2335,4,2,6,5,14,8,-1,1,5
1264,0.376720615671642,0.483737639925373,0.57470377710422,0.47839483093665,1361.94741666667,4,2,9,9,22,9,5,3,5
1265,0.415286497201493,0.456318680037313,1.14488190720448,0.672199106101827,1848.60491666667,4,2,7,7,11,5,3,1,5
1266,0.173735280373832,0.226971028037383,0.319626489138052,0.240117124834514,686.31,1,3,6,3,6,2,4,1,5
1267,0.326171845794393,0.685710747663551,0.756035739313245,0.589319095086053,1647.82016666667,3,2,7,3,11,6,-1,1,-1
1268,0.187881308411215,0.253483761682243,0.372103246904929,0.271163966980765,773.371416666667,2,0,5,4,9,7,5,1,5
1269,0.247557252798507,0.595986240671642,0.35263324784332,0.398721997668092,1116.13616666667,2,2,9,4,17,7,3,6,5
1270,0.264434934701493,0.40565333488806,0.496756120307764,0.38895650991061,1110.76491666667,3,1,8,9,17,14,4,1,5
1271,0.430386427238806,1.09510296175373,1.29244765679646,0.939339797901283,2700.45691666667,3,3,9,3,15,7,6,6,3
1274,0.245390391791045,0.53340578358209,0.522840405688972,0.433885775359503,1220.10141666667,1,2,6,3,8,3,-1,6,3
1275,0.321500367647059,0.608739828431373,0.431904802744425,0.454046523976799,1191.99108333333,2,2,6,2,9,3,-1,6,4
1276,0.273066930970149,0.792822061567164,1.0818563767778,0.715943567819666,2092.222,3,1,8,4,17,12,5,1,5
1277,0.147125583022388,0.333850396455224,0.311985078106785,0.264324057520404,722.638166666667,2,2,6,5,8,12,5,1,5
1278,0.478521455223881,0.833943913246269,0.914952319888086,0.742485969685192,2117.33166666667,3,2,7,4,11,8,3,1,5
1279,0.0858306074766355,0.408948598130841,0.308500934361131,0.267763219375438,754.572166666667,2,0,5,3,7,7,-1,6,2
1280,0.647263759328358,1.09631588152985,1.29415819538354,1.01260116595414,2885.05541666667,5,0,6,9,12,15,-1,1,5
1281,0.466318563432836,0.614321595149254,0.585345768244346,0.555330975514963,1584.10358333333,1,3,9,5,11,4,7,6,5
1283,0.094092234141791,0.0978241604477612,0.21764269060387,0.136526000777303,408.4315,1,1,6,4,7,4,4,2,5
1284,0.246694263059701,0.327332789179104,0.329171718349266,0.301068441507967,843.347666666667,1,1,8,2,7,3,7,6,2
1286,0.339637826492537,0.462107159514925,0.684273840055957,0.495354294597746,1385.79325,3,3,7,2,10,4,3,4,4
1288,0.265848297574627,0.897435750932836,0.790707857309396,0.651341469102215,1867.70525,2,2,8,5,12,12,-1,3,3
1291,0.161598130841121,0.27529941588785,0.332994861013782,0.25663674947434,721.121,2,2,6,1,10,3,-1,1,-1
1293,0.40177833488806,1.00095732276119,0.582840638843553,0.661852623396813,1930.23416666667,3,3,8,3,14,10,6,6,4
1294,0.373110630841122,0.499878504672897,0.884662345246438,0.585907094463048,1657.7005,3,2,8,5,14,8,-1,1,3
1295,0.376914836448598,0.577385514018692,0.832918593786498,0.595758118526595,1721.17741666667,3,1,9,7,13,6,4,1,5
1296,0.464125816231343,0.631828941231343,0.670716484028911,0.588896774193548,1637.58183333333,4,2,8,4,9,6,-1,1,-1
1299,0.453463969216418,0.819857509328358,0.491428654698065,0.588242518460941,1629.04516666667,4,2,9,8,20,10,7,4,5
1300,0.498807486007463,1.11650128264925,1.15488738633714,0.923416712009328,2675.52716666667,6,2,8,10,15,15,3,3,3
1301,0.366030433768657,0.709649020522388,0.703794940545582,0.593166731441897,1747.04933333333,3,1,8,4,13,5,-1,5,5
1302,0.181017840485075,0.298191231343284,0.309026812776871,0.262748892343568,737.617666666667,1,4,8,4,12,2,-1,3,5
1303,0.263760494402985,0.545484141791045,0.6647884122173,0.491357831325301,1409.98158333333,4,0,7,7,10,10,7,4,4
1305,0.134914412313433,0.18346630130597,0.391591629750525,0.236669490866693,677.972083333333,2,1,4,2,4,4,5,1,5
1308,0.252442118226601,0.386310344827586,0.431069427339902,0.35660729679803,840.335833333333,2,1,7,5,8,6,-1,6,-1
1309,0.192574626865672,0.473536963619403,0.764564350664491,0.476914341235911,1384.562,2,1,6,3,7,8,2,1,2
1311,0.266754556074766,0.478930841121495,0.456099976640972,0.40059944708356,1147.17383333333,3,0,4,2,6,3,-1,6,3
1314,0.463858060747664,0.728970677570093,1.06119528147629,0.751365469978974,2116.22775,4,1,6,5,7,8,7,7,4
1315,0.234752565298507,0.592129430970149,0.461898577757053,0.429596035755927,1230.91466666667,3,2,6,4,9,9,-1,1,5
1317,0.216984608208955,0.695210704291045,0.457719864770343,0.456638476486592,1307.7515,4,2,5,4,12,6,-1,4,-1
1319,0.395292444029851,0.439906366604478,0.493412916763814,0.442874504469491,1262.81125,1,2,4,4,5,6,-1,6,-1
1321,0.411270755597015,0.741988572761194,0.602785614362322,0.585349669646327,1674.34083333333,2,2,8,1,15,3,-1,6,2
1322,0.241538829291045,0.417797924440299,0.343514339006761,0.334284415079674,945.495333333333,1,1,5,3,7,6,2,6,5
1323,0.302568574766355,0.518392056074766,0.489468815697267,0.436813916361654,1246.06541666667,3,0,6,5,9,11,7,4,4
1324,0.286806553171642,0.406991487873134,0.32585730939613,0.339884026428294,984.690916666667,1,2,8,2,14,6,7,6,3
1325,0.456471495327103,0.496122546728972,0.749707428170988,0.567448018067129,1616.518,5,2,7,4,11,8,-1,1,-1
1326,0.474793808411215,1.08682581775701,0.94856003270264,0.836735262051242,2415.66708333333,4,1,6,10,15,11,7,4,5
1328,0.31265088619403,0.551098763992537,0.765382606668221,0.543061368052857,1487.53725,3,2,9,3,12,2,-1,6,2
1329,0.076683885261194,0.431392024253731,0.279903007694101,0.262660979401477,814.246083333333,1,3,5,2,5,6,7,6,3
1331,0.33872364738806,0.387215018656716,0.449560037304733,0.391837388262728,1122.76041666667,2,2,8,9,13,10,4,1,5
1334,0.260072644589552,0.406366487873134,0.695245162042434,0.453913525068014,1271.22925,1,1,6,2,7,2,-1,6,2
1336,0.834258045708955,0.911380830223881,1.48972091396596,1.07848523124757,3021.36975,5,1,8,10,21,11,-1,1,3
1337,0.157574860074627,0.160590018656716,0.142438214035906,0.153533501748931,421.98075,1,2,6,2,7,3,-1,2,4
1338,0.458146571828358,1.34402926772388,1.2911901375612,1.03114220753984,2995.01675,6,2,5,15,15,14,4,1,5
1339,0.41790333488806,0.79671338619403,1.26886756819772,0.827862378546444,2258.11591666667,5,3,6,5,12,10,4,1,4
1341,0.324701842350746,0.681680270522388,0.698845535089765,0.56841935483871,1737.77058333333,3,1,6,4,12,5,-1,6,4
1342,0.154967700559701,0.453371268656716,0.479144905572394,0.362503692188107,1035.61775,4,1,6,3,10,10,-1,6,2
1343,0.425144356343284,0.926793610074627,1.22369223595244,0.858571783909833,2486.6845,2,1,8,3,18,7,4,1,3
1346,0.189672458022388,0.435958722014925,0.43158778269993,0.352412475709289,988.235333333333,2,3,7,3,12,5,2,6,3
1347,0.49621385261194,0.686796875,1.18799358824901,0.790365682083171,2203.08841666667,7,1,11,7,16,9,5,3,5
1348,0.953517873831776,1.29257908878505,1.91646846531184,1.38756300132388,3924.67675,4,2,10,9,14,6,5,1,4
1350,0.27148682369403,0.885989039179104,0.921447540219165,0.692992226972406,1971.52316666667,1,2,7,5,18,5,7,6,3
1353,0.692884095149254,0.66083547108209,0.89835730939613,0.750703769918383,2032.15808333333,2,1,7,3,7,4,2,6,4
1359,0.256267957089552,0.658232509328358,0.402196665889485,0.438896191216479,1317.97033333333,2,2,6,1,8,3,-1,2,2
1360,0.312894822761194,0.997283232276119,0.932367917929587,0.74752969296541,2094.29658333333,4,1,7,5,18,11,4,1,3
